,date,rainfall,cyc1,cyc2,cyc3,cyc4,lag_1,lag_2,lag_3,lag_4,weekly_ema,monthly_ema,rainfall_binary,total_orders
1616,2012-06-30,17.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,246.0,106.0,223.0,238.0,230.85358472384263,202.4286510932432,1,314.0
1617,2012-07-01,19.666666666666668,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,314.0,246.0,106.0,223.0,265.890188542882,213.30422199045333,1,371.0
1618,2012-07-02,41.333333333333336,0.0,1.0,-0.4999999999999997,-0.8660254037844388,371.0,314.0,246.0,106.0,257.41764140716145,214.5104012168757,1,232.0
1619,2012-07-03,0.0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,232.0,371.0,314.0,246.0,244.3132310553711,213.8968269448192,0,205.0
1620,2012-07-04,0.0,0.9749279121818236,-0.2225209339563143,-0.4999999999999997,-0.8660254037844388,205.0,232.0,371.0,314.0,236.48492329152836,213.83896714192767,0,213.0
1621,2012-07-05,13.333333333333334,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,213.0,205.0,232.0,371.0,223.86369246864624,212.0429047456743,1,186.0
1622,2012-07-06,170.33333333333334,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,186.0,213.0,205.0,232.0,243.1477693514847,217.78207218143723,1,301.0
1623,2012-07-07,54.66666666666666,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,301.0,186.0,213.0,205.0,233.36082701361352,216.89290623424773,1,204.0
1624,2012-07-08,67.66666666666667,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,204.0,301.0,186.0,213.0,254.7706202602101,223.4804606707479,1,319.0
1625,2012-07-09,51.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,319.0,204.0,301.0,186.0,242.5779651951576,222.3526890145706,1,206.0
1626,2012-07-10,1.3333333333333333,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,206.0,319.0,204.0,301.0,240.6834738963682,223.16864456201768,1,235.0
1627,2012-07-11,37.66666666666666,0.9749279121818236,-0.2225209339563143,-0.4999999999999997,-0.8660254037844388,235.0,206.0,319.0,204.0,241.51260542227612,224.5126029773714,1,244.0
1628,2012-07-12,53.0,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,244.0,235.0,206.0,319.0,226.38445406670712,221.7053382691539,1,181.0
1629,2012-07-13,50.66666666666666,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,181.0,244.0,235.0,206.0,231.78834055003037,223.4017680582408,1,248.0
1630,2012-07-14,41.0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,248.0,181.0,244.0,235.0,232.09125541252277,224.02100882867688,1,233.0
1631,2012-07-15,96.33333333333331,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,233.0,248.0,181.0,244.0,245.81844155939208,228.08416954940745,1,287.0
1632,2012-07-16,65.66666666666667,0.0,1.0,-0.4999999999999997,-0.8660254037844388,287.0,233.0,248.0,181.0,240.36383116954403,227.82067473976824,1,224.0
1633,2012-07-17,182.66666666666663,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,224.0,287.0,233.0,248.0,217.272873377158,222.67095378881547,1,148.0
1634,2012-07-18,1.3333333333333333,0.9749279121818236,-0.2225209339563143,-0.4999999999999997,-0.8660254037844388,148.0,224.0,287.0,233.0,216.2046550328685,222.0470212863113,1,213.0
1635,2012-07-19,170.0,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,213.0,148.0,224.0,287.0,198.9034912746514,217.20527797751703,1,147.0
1636,2012-07-20,42.333333333333336,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,147.0,213.0,148.0,224.0,185.67761845598852,212.61138907574173,1,146.0
1637,2012-07-21,15.666666666666666,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,146.0,147.0,213.0,148.0,172.75821384199142,207.53968655472616,1,134.0
1638,2012-07-22,0.3333333333333333,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,134.0,146.0,147.0,213.0,163.06866038149357,202.7951906479697,1,134.0
1639,2012-07-23,0.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,134.0,134.0,146.0,147.0,183.80149528612017,205.58259770293935,0,246.0
1640,2012-07-24,0.0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,246.0,134.0,134.0,146.0,175.10112146459014,201.93210752855623,0,149.0
1641,2012-07-25,0.0,0.9749279121818236,-0.2225209339563143,-0.4999999999999997,-0.8660254037844388,149.0,246.0,134.0,134.0,168.3258410984426,198.4526167202623,0,148.0
1642,2012-07-26,0.0,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,148.0,149.0,246.0,134.0,163.49438082383193,195.2621253189551,0,149.0
1643,2012-07-27,0.0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,149.0,148.0,149.0,246.0,189.87078561787396,200.01940755644188,0,269.0
1644,2012-07-28,78.66666666666667,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,269.0,149.0,148.0,149.0,194.65308921340545,200.5988006173166,1,209.0
